prospect_id,recruiter_id,raw_stage,last_stage_at,zip_code,source_code,extract_date
P-1001,R-01,New Prospect,2026-08-13,21201,WEB_FORM,2026-08-14
P-1002,R-01,Contacted,2026-08-12,21202,REFERRAL,2026-08-14
P-1003,R-02,Appointment Scheduled,2026-08-13,21205,SCHOOL_EVENT,2026-08-14
P-1004,R-02,Lead,2026-08-11,21206,WEB_FORM,2026-08-14
P-1005,R-03,Processing,,21207,REFERRAL,2026-08-14
P-1006,R-03,Appt Set,2026-08-12,21208,WEB_FORM,2026-08-14
P-1006,R-03,Appointment Scheduled,2026-08-12,21208,WEB_FORM,2026-08-14
P-1007,R-04,Future Soldier,2026-08-10,21209,REFERRAL,2026-08-14
P-1008,R-04,Contacted,2026-08-11,2120X,SCHOOL_EVENT,2026-08-14
P-1009,R-01,In Review,2026-08-13,21210,WEB_FORM,2026-08-14
P-1010,R-02,Appointment Scheduled,2026-08-16,21211,WEB_FORM,2026-08-14
P-1011,R-04,Closed - Declined,2026-08-12,21212,REFERRAL,2026-08-14
P-1012,R-03,Applicant,2026-08-13,21213,SCHOOL_EVENT,2026-08-14
